Identifier,Ct,Gene,Efficiancy 
200,40,LWS1,0.9921212
200,40,LWS1,0.9921212
200,40,LWS1,0.9921212
201,40,LWS1,0.9921212
201,40,LWS1,0.9921212
202,40,LWS1,0.9921212
202,40,LWS1,0.9921212
203,40,LWS1,0.9921212
203,40,LWS1,0.9921212
204,40,LWS1,0.9921212
204,40,LWS1,0.9921212
205,40,LWS1,0.9921212
205,40,LWS1,0.9921212
206,40,LWS1,0.9921212
206,40,LWS1,0.9921212
242,40,LWS1,0.9921212
242,40,LWS1,0.9921212
242,40,LWS1,0.9921212
244,40,LWS1,0.9921212
244,40,LWS1,0.9921212
245,40,LWS1,0.9921212
245,40,LWS1,0.9921212
246,40,LWS1,0.9921212
246,40,LWS1,0.9921212
247,40,LWS1,0.9921212
247,40,LWS1,0.9921212
248,40,LWS1,0.9921212
248,40,LWS1,0.9921212
249,40,LWS1,0.9921212
249,40,LWS1,0.9921212
260,40,LWS1,0.9921212
260,40,LWS1,0.9921212
260,40,LWS1,0.9921212
261,40,LWS1,0.9921212
261,40,LWS1,0.9921212
262,40,LWS1,0.9921212
262,40,LWS1,0.9921212
264,40,LWS1,0.9921212
264,40,LWS1,0.9921212
265,40,LWS1,0.9921212
265,40,LWS1,0.9921212
266,40,LWS1,0.9921212
266,40,LWS1,0.9921212
267,40,LWS1,0.9921212
267,40,LWS1,0.9921212
365,40,LWS1,0.9921212
365,40,LWS1,0.9921212
366,40,LWS1,0.9921212
366,40,LWS1,0.9921212
367,40,LWS1,0.9921212
367,40,LWS1,0.9921212
368,40,LWS1,0.9921212
368,40,LWS1,0.9921212
369,40,LWS1,0.9921212
369,40,LWS1,0.9921212
370,40,LWS1,0.9921212
370,40,LWS1,0.9921212
371,40,LWS1,0.9921212
371,40,LWS1,0.9921212
472,40,LWS1,0.9921212
472,40,LWS1,0.9921212
472,40,LWS1,0.9921212
474,35.44,LWS1,0.9921212
474,40,LWS1,0.9921212
475,34.62,LWS1,0.9921212
475,40,LWS1,0.9921212
476,40,LWS1,0.9921212
476,40,LWS1,0.9921212
477,40,LWS1,0.9921212
477,40,LWS1,0.9921212
478,40,LWS1,0.9921212
478,40,LWS1,0.9921212
479,40,LWS1,0.9921212
479,40,LWS1,0.9921212
502,40,LWS1,0.9921212
502,40,LWS1,0.9921212
502,40,LWS1,0.9921212
503,40,LWS1,0.9921212
503,40,LWS1,0.9921212
505,40,LWS1,0.9921212
505,40,LWS1,0.9921212
506,40,LWS1,0.9921212
506,40,LWS1,0.9921212
507,40,LWS1,0.9921212
507,40,LWS1,0.9921212
508,40,LWS1,0.9921212
508,40,LWS1,0.9921212
509,40,LWS1,0.9921212
509,40,LWS1,0.9921212
523,40,LWS1,0.9921212
523,40,LWS1,0.9921212
524,40,LWS1,0.9921212
524,40,LWS1,0.9921212
526,40,LWS1,0.9921212
526,40,LWS1,0.9921212
527,40,LWS1,0.9921212
527,40,LWS1,0.9921212
528,40,LWS1,0.9921212
528,40,LWS1,0.9921212
529,40,LWS1,0.9921212
529,40,LWS1,0.9921212
530,40,LWS1,0.9921212
530,40,LWS1,0.9921212
590,34.95,LWS1,0.9921212
590,40,LWS1,0.9921212
591,40,LWS1,0.9921212
591,40,LWS1,0.9921212
592,40,LWS1,0.9921212
592,40,LWS1,0.9921212
593,40,LWS1,0.9921212
593,40,LWS1,0.9921212
594,40,LWS1,0.9921212
