Identifier,Ct,Gene,Efficiancy ,Ben_abs,Ben_rel
200,40,LWS1,0.9921212,0.8267,0.9633
200,40,LWS1,0.9921212,0.8267,0.9633
200,40,LWS1,0.9921212,0.8267,0.9633
201,40,LWS1,0.9921212,0.8267,0.9633
201,40,LWS1,0.9921212,0.8267,0.9633
202,40,LWS1,0.9921212,0.8267,0.9633
202,40,LWS1,0.9921212,0.8267,0.9633
203,40,LWS1,0.9921212,0.8267,0.9633
203,40,LWS1,0.9921212,0.8267,0.9633
204,40,LWS1,0.9921212,0.8267,0.9633
204,40,LWS1,0.9921212,0.8267,0.9633
205,40,LWS1,0.9921212,0.8267,0.9633
205,40,LWS1,0.9921212,0.8267,0.9633
206,40,LWS1,0.9921212,0.8267,0.9633
206,40,LWS1,0.9921212,0.8267,0.9633
242,40,LWS1,0.9921212,0.8267,0.9633
242,40,LWS1,0.9921212,0.8267,0.9633
242,40,LWS1,0.9921212,0.8267,0.9633
244,40,LWS1,0.9921212,0.8267,0.9633
244,40,LWS1,0.9921212,0.8267,0.9633
245,40,LWS1,0.9921212,0.8267,0.9633
245,40,LWS1,0.9921212,0.8267,0.9633
246,40,LWS1,0.9921212,0.8267,0.9633
246,40,LWS1,0.9921212,0.8267,0.9633
247,40,LWS1,0.9921212,0.8267,0.9633
247,40,LWS1,0.9921212,0.8267,0.9633
248,40,LWS1,0.9921212,0.8267,0.9633
248,40,LWS1,0.9921212,0.8267,0.9633
249,40,LWS1,0.9921212,0.8267,0.9633
249,40,LWS1,0.9921212,0.8267,0.9633
260,40,LWS1,0.9921212,0.8267,0.9633
260,40,LWS1,0.9921212,0.8267,0.9633
260,40,LWS1,0.9921212,0.8267,0.9633
261,40,LWS1,0.9921212,0.8267,0.9633
261,40,LWS1,0.9921212,0.8267,0.9633
262,40,LWS1,0.9921212,0.8267,0.9633
262,40,LWS1,0.9921212,0.8267,0.9633
264,40,LWS1,0.9921212,0.8267,0.9633
264,40,LWS1,0.9921212,0.8267,0.9633
265,40,LWS1,0.9921212,0.8267,0.9633
265,40,LWS1,0.9921212,0.8267,0.9633
266,40,LWS1,0.9921212,0.8267,0.9633
266,40,LWS1,0.9921212,0.8267,0.9633
267,40,LWS1,0.9921212,0.8267,0.9633
267,40,LWS1,0.9921212,0.8267,0.9633
365,40,LWS1,0.9921212,0.8267,0.9633
365,40,LWS1,0.9921212,0.8267,0.9633
366,40,LWS1,0.9921212,0.8267,0.9633
366,40,LWS1,0.9921212,0.8267,0.9633
367,40,LWS1,0.9921212,0.8267,0.9633
367,40,LWS1,0.9921212,0.8267,0.9633
368,40,LWS1,0.9921212,0.8267,0.9633
368,40,LWS1,0.9921212,0.8267,0.9633
369,40,LWS1,0.9921212,0.8267,0.9633
369,40,LWS1,0.9921212,0.8267,0.9633
370,40,LWS1,0.9921212,0.8267,0.9633
370,40,LWS1,0.9921212,0.8267,0.9633
371,40,LWS1,0.9921212,0.8267,0.9633
371,40,LWS1,0.9921212,0.8267,0.9633
472,40,LWS1,0.9921212,0.8267,0.9633
472,40,LWS1,0.9921212,0.8267,0.9633
472,40,LWS1,0.9921212,0.8267,0.9633
474,35.44,LWS1,0.9921212,0.8267,0.9633
474,40,LWS1,0.9921212,0.8267,0.9633
475,34.62,LWS1,0.9921212,0.8267,0.9633
475,40,LWS1,0.9921212,0.8267,0.9633
476,40,LWS1,0.9921212,0.8267,0.9633
476,40,LWS1,0.9921212,0.8267,0.9633
477,40,LWS1,0.9921212,0.8267,0.9633
477,40,LWS1,0.9921212,0.8267,0.9633
478,40,LWS1,0.9921212,0.8267,0.9633
478,40,LWS1,0.9921212,0.8267,0.9633
479,40,LWS1,0.9921212,0.8267,0.9633
479,40,LWS1,0.9921212,0.8267,0.9633
502,40,LWS1,0.9921212,0.8267,0.9633
502,40,LWS1,0.9921212,0.8267,0.9633
502,40,LWS1,0.9921212,0.8267,0.9633
503,40,LWS1,0.9921212,0.8267,0.9633
503,40,LWS1,0.9921212,0.8267,0.9633
505,40,LWS1,0.9921212,0.8267,0.9633
505,40,LWS1,0.9921212,0.8267,0.9633
506,40,LWS1,0.9921212,0.8267,0.9633
506,40,LWS1,0.9921212,0.8267,0.9633
507,40,LWS1,0.9921212,0.8267,0.9633
507,40,LWS1,0.9921212,0.8267,0.9633
508,40,LWS1,0.9921212,0.8267,0.9633
508,40,LWS1,0.9921212,0.8267,0.9633
509,40,LWS1,0.9921212,0.8267,0.9633
509,40,LWS1,0.9921212,0.8267,0.9633
523,40,LWS1,0.9921212,0.8267,0.9633
523,40,LWS1,0.9921212,0.8267,0.9633
524,40,LWS1,0.9921212,0.8267,0.9633
524,40,LWS1,0.9921212,0.8267,0.9633
526,40,LWS1,0.9921212,0.8267,0.9633
526,40,LWS1,0.9921212,0.8267,0.9633
527,40,LWS1,0.9921212,0.8267,0.9633
527,40,LWS1,0.9921212,0.8267,0.9633
528,40,LWS1,0.9921212,0.8267,0.9633
528,40,LWS1,0.9921212,0.8267,0.9633
529,40,LWS1,0.9921212,0.8267,0.9633
529,40,LWS1,0.9921212,0.8267,0.9633
530,40,LWS1,0.9921212,0.8267,0.9633
530,40,LWS1,0.9921212,0.8267,0.9633
590,34.95,LWS1,0.9921212,0.8267,0.9633
590,40,LWS1,0.9921212,0.8267,0.9633
591,40,LWS1,0.9921212,0.8267,0.9633
591,40,LWS1,0.9921212,0.8267,0.9633
592,40,LWS1,0.9921212,0.8267,0.9633
592,40,LWS1,0.9921212,0.8267,0.9633
593,40,LWS1,0.9921212,0.8267,0.9633
593,40,LWS1,0.9921212,0.8267,0.9633
594,40,LWS1,0.9921212,0.8267,0.9633
594,40,LWS1,0.9921212,0.8267,0.9633
595,40,LWS1,0.9921212,0.8267,0.9633
595,35.43,LWS1,0.9921212,0.8267,0.9633
596,40,LWS1,0.9921212,0.8267,0.9633
596,40,LWS1,0.9921212,0.8267,0.9633
200,35.06,LWS2,0.9079779,0.7751,0.9031
200,36.23,LWS2,0.9079779,0.7751,0.9031
201,40,LWS2,0.9079779,0.7751,0.9031
201,35.9,LWS2,0.9079779,0.7751,0.9031
201,38.31,LWS2,0.9079779,0.7751,0.9031
202,40,LWS2,0.9079779,0.7751,0.9031
202,38.44,LWS2,0.9079779,0.7751,0.9031
202,40,LWS2,0.9079779,0.7751,0.9031
203,40,LWS2,0.9079779,0.7751,0.9031
203,35.37,LWS2,0.9079779,0.7751,0.9031
203,40,LWS2,0.9079779,0.7751,0.9031
204,33.2,LWS2,0.9079779,0.7751,0.9031
204,34.96,LWS2,0.9079779,0.7751,0.9031
204,35.38,LWS2,0.9079779,0.7751,0.9031
205,34.8,LWS2,0.9079779,0.7751,0.9031
205,37.36,LWS2,0.9079779,0.7751,0.9031
205,36.93,LWS2,0.9079779,0.7751,0.9031
206,37.13,LWS2,0.9079779,0.7751,0.9031
206,40,LWS2,0.9079779,0.7751,0.9031
206,38.41,LWS2,0.9079779,0.7751,0.9031
242,40,LWS2,0.9079779,0.7751,0.9031
242,40,LWS2,0.9079779,0.7751,0.9031
244,40,LWS2,0.9079779,0.7751,0.9031
244,40,LWS2,0.9079779,0.7751,0.9031
245,37.72,LWS2,0.9079779,0.7751,0.9031
245,40,LWS2,0.9079779,0.7751,0.9031
245,40,LWS2,0.9079779,0.7751,0.9031
246,40,LWS2,0.9079779,0.7751,0.9031
246,38,LWS2,0.9079779,0.7751,0.9031
246,40,LWS2,0.9079779,0.7751,0.9031
247,40,LWS2,0.9079779,0.7751,0.9031
247,40,LWS2,0.9079779,0.7751,0.9031
248,40,LWS2,0.9079779,0.7751,0.9031
248,35.08,LWS2,0.9079779,0.7751,0.9031
248,38.36,LWS2,0.9079779,0.7751,0.9031
249,40,LWS2,0.9079779,0.7751,0.9031
249,40,LWS2,0.9079779,0.7751,0.9031
