Sample ID,Identifier,Fieldsite ID,Locality,Drainage,H2S,Species,Sex
MX14-200,200,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-201,201,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-202,202,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-203,203,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-204,204,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-205,205,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-206,206,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-207,207,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-208,208,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-209,209,MT14-11,"Rio El Azufre, west branch",Pichucalco,0,Poecilia mexicana,0
MX14-240,240,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-241,241,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-242,242,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-243,243,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-244,244,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-245,245,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-246,246,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-247,247,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-248,248,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-249,249,MT14-13,La Esperanza,Ixtapangajoya,1,Poecilia thermalis,0
MX14-260,260,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-261,261,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-262,262,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-263,263,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-264,264,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-265,265,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-266,266,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-267,267,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-268,268,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-269,269,MT14-17,Rio Ixtapangajoya,Ixtapangajoya,0,Poecilia mexicana,0
MX14-362,362,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-363,363,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-364,364,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-365,365,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-366,366,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-367,367,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-368,368,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-369,369,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-370,370,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-371,371,MT14-21,El Azufre I,Tacotalpa,1,Poecilia mexicana,0
MX14-472,472,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-473,473,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-474,474,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-475,475,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-476,476,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-477,477,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-478,478,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-479,479,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-480,480,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-481,481,MT14-26,Arroyo Bonita,Tacotalpa,0,Poecilia mexicana,0
MX14-501,501,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-502,502,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-503,503,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-504,504,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-505,505,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-506,506,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-507,507,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-508,508,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-509,509,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-510,510,MT14-27,La Lluvia spring,Puyacatengo,1,Poecilia mexicana,0
MX14-523,523,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-524,524,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-525,525,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-526,526,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-527,527,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-528,528,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-529,529,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-530,530,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-531,531,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-532,532,MT14-28,Rio Puyacatengo at Vicente Guerrero,Puyacatengo,0,Poecilia mexicana,0
MX14-588,588,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-589,589,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-590,590,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-591,591,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-592,592,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-593,593,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-594,594,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-595,595,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-596,596,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
MX14-597,597,MT14-29,La Gloria springs,Pichucalco,1,Poecilia sulphuraria,0
