,Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point
,A02,FAM,Unkn,200,1,37.40,37.55,0.214,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A04,FAM,Unkn,242,8,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A05,FAM,Unkn,260,15,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A06,FAM,Unkn,365,22,35.55,36.36,1.153,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A07,FAM,Unkn,200,1,37.70,37.55,0.214,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A08,FAM,Unkn,242,8,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A09,FAM,Unkn,260,15,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A10,FAM,Unkn,365,22,37.18,36.36,1.153,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A11,FAM,NTC,NoRT,1,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B02,FAM,Unkn,201,2,35.48,35.48,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B04,FAM,Unkn,244,9,35.23,35.23,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B05,FAM,Unkn,261,16,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B06,FAM,Unkn,366,23,37.01,36.58,0.605,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B07,FAM,Unkn,201,2,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B08,FAM,Unkn,244,9,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B09,FAM,Unkn,261,16,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B10,FAM,Unkn,366,23,36.15,36.58,0.605,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B11,FAM,NTC,NCT,2,29.23,29.23,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C02,FAM,Unkn,202,3,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C04,FAM,Unkn,245,10,35.73,35.73,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C05,FAM,Unkn,262,17,19.48,19.48,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C06,FAM,Unkn,367,24,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C07,FAM,Unkn,202,3,36.63,36.63,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C08,FAM,Unkn,245,10,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C09,FAM,Unkn,262,17,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C10,FAM,Unkn,367,24,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D02,FAM,Unkn,203,4,32.14,32.14,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D04,FAM,Unkn,246,11,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D05,FAM,Unkn,264,18,36.33,37.34,1.417,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D06,FAM,Unkn,368,25,34.76,35.04,0.405,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D07,FAM,Unkn,203,4,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D08,FAM,Unkn,246,11,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D09,FAM,Unkn,264,18,38.34,37.34,1.417,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D10,FAM,Unkn,368,25,35.33,35.04,0.405,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E02,FAM,Unkn,204,5,34.74,34.88,0.200,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E04,FAM,Unkn,247,12,36.30,37.28,1.398,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E05,FAM,Unkn,265,19,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E06,FAM,Unkn,369,26,37.11,37.04,0.091,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E07,FAM,Unkn,204,5,35.02,34.88,0.200,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E08,FAM,Unkn,247,12,38.27,37.28,1.398,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E09,FAM,Unkn,265,19,37.34,37.34,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E10,FAM,Unkn,369,26,36.98,37.04,0.091,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F02,FAM,Unkn,205,6,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F04,FAM,Unkn,248,13,27.38,31.20,5.397,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F05,FAM,Unkn,266,20,36.40,30.07,8.946,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F06,FAM,Unkn,370,27,13.94,13.94,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F07,FAM,Unkn,205,6,34.84,34.84,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F08,FAM,Unkn,248,13,35.01,31.20,5.397,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F09,FAM,Unkn,266,20,23.74,30.07,8.946,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
