,Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point
,A02,FAM,Unkn,200,1,30.75,30.43,0.448,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A04,FAM,Unkn,242,8,38.41,36.56,2.617,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A05,FAM,Unkn,260,15,38.21,36.62,2.251,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A06,FAM,Unkn,365,22,28.87,29.03,0.229,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A07,FAM,Unkn,200,1,30.12,30.43,0.448,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A08,FAM,Unkn,242,8,34.71,36.56,2.617,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A09,FAM,Unkn,260,15,35.03,36.62,2.251,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A10,FAM,Unkn,365,22,29.19,29.03,0.229,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,A11,FAM,NTC,NoRT,1,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B02,FAM,Unkn,201,2,29.55,29.70,0.213,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B04,FAM,Unkn,244,9,28.10,28.02,0.114,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B05,FAM,Unkn,261,16,32.62,32.37,0.356,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B06,FAM,Unkn,366,23,27.84,27.76,0.113,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B07,FAM,Unkn,201,2,29.85,29.70,0.213,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B08,FAM,Unkn,244,9,27.94,28.02,0.114,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B09,FAM,Unkn,261,16,32.12,32.37,0.356,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B10,FAM,Unkn,366,23,27.68,27.76,0.113,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,B11,FAM,NTC,NCT,2,N/A,00.00,N/A,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C02,FAM,Unkn,202,3,31.55,31.46,0.129,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C04,FAM,Unkn,245,10,29.07,28.93,0.201,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C05,FAM,Unkn,262,17,33.80,33.70,0.129,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C06,FAM,Unkn,367,24,29.18,29.15,0.045,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C07,FAM,Unkn,202,3,31.37,31.46,0.129,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C08,FAM,Unkn,245,10,28.78,28.93,0.201,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C09,FAM,Unkn,262,17,33.61,33.70,0.129,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,C10,FAM,Unkn,367,24,29.12,29.15,0.045,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D02,FAM,Unkn,203,4,37.94,37.10,1.186,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D04,FAM,Unkn,246,11,27.02,27.01,0.009,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D05,FAM,Unkn,264,18,28.40,28.63,0.320,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D06,FAM,Unkn,368,25,26.97,27.35,0.542,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D07,FAM,Unkn,203,4,36.26,37.10,1.186,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D08,FAM,Unkn,246,11,27.01,27.01,0.009,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D09,FAM,Unkn,264,18,28.85,28.63,0.320,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,D10,FAM,Unkn,368,25,27.73,27.35,0.542,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E02,FAM,Unkn,204,5,27.78,27.68,0.129,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E04,FAM,Unkn,247,12,26.89,26.96,0.093,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E05,FAM,Unkn,265,19,28.55,28.48,0.098,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E06,FAM,Unkn,369,26,31.27,31.35,0.114,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E07,FAM,Unkn,204,5,27.59,27.68,0.129,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E08,FAM,Unkn,247,12,27.02,26.96,0.093,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E09,FAM,Unkn,265,19,28.41,28.48,0.098,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,E10,FAM,Unkn,369,26,31.43,31.35,0.114,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F02,FAM,Unkn,205,6,27.79,27.79,0.012,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F04,FAM,Unkn,248,13,29.77,29.97,0.276,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F05,FAM,Unkn,266,20,28.14,28.17,0.032,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F06,FAM,Unkn,370,27,29.99,29.97,0.021,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F07,FAM,Unkn,205,6,27.80,27.79,0.012,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F08,FAM,Unkn,248,13,30.16,29.97,0.276,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F09,FAM,Unkn,266,20,28.19,28.17,0.032,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,F10,FAM,Unkn,370,27,29.96,29.97,0.021,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G02,FAM,Unkn,206,7,27.86,27.95,0.128,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G04,FAM,Unkn,249,14,30.61,30.47,0.201,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G05,FAM,Unkn,267,21,29.68,29.66,0.035,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G06,FAM,Unkn,371,28,30.07,30.06,0.009,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G07,FAM,Unkn,206,7,28.04,27.95,0.128,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G08,FAM,Unkn,249,14,30.33,30.47,0.201,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G09,FAM,Unkn,267,21,29.63,29.66,0.035,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
,G10,FAM,Unkn,371,28,30.06,30.06,0.009,0.000E+00,#NUM!,0.00E+00,0.00E+00,N/A
