Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point,Gene
A04,FAM,Unkn,LWS1 201,1,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
A05,FAM,Unkn,LWS1 261,8,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
A06,FAM,Unkn,LWS1 261,8,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
A07,FAM,Unkn,LWS1 371,15,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
A08,FAM,Unkn,LWS1 371,15,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
A09,FAM,Unkn,LWSR 201,28,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
A10,FAM,Unkn,LWSR 265,35,36.45,36.45,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
A11,FAM,Unkn,LWS3 245,38,32.68,32.68,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS3
B02,FAM,Unkn,LWS1 202,2,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
B04,FAM,Unkn,LWS1 202,2,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
B05,FAM,Unkn,LWS1 264,9,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
B06,FAM,Unkn,LWS1 264,9,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
B08,FAM,Unkn,LWSR 509,22,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
B09,FAM,Unkn,LWSR 202,29,36.61,36.61,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
B10,FAM,Unkn,LWSR 266,36,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
B11,FAM,Unkn,LWS 505,39,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS3
C02,FAM,Unkn,LWS1 204,3,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
C04,FAM,Unkn,LWS1 204,3,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
C05,FAM,Unkn,LWS1 265,10,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
C06,FAM,Unkn,LWS1 265,10,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
C07,FAM,Unkn,LWS1 475,17,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
C08,FAM,Unkn,LWSR 527,23,35.24,35.24,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
C09,FAM,Unkn,LWSR 205,30,35.17,35.17,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
C10,FAM,Unkn,LWSR 365,37,36.74,36.74,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWSr
C11,FAM,Unkn,RH2-2 505,40,33.11,33.11,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,RH2-2
D02,FAM,Unkn,LWS1 205,4,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
D04,FAM,Unkn,LWS1 205,4,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
D05,FAM,Unkn,LWS1 266,11,N/A,0,N/A,0.00E+00,#NUM!,0.00E+00,0.00E+00,N/A,LWS1
