,Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point
,A02,FAM,Std,SWS1,1,24.86,24.82,0.062,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,A04,FAM,Std,SWS1,1,24.77,24.82,0.062,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,A05,FAM,Std,SWS2A,6,30.35,30.31,0.066,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,A06,FAM,Std,SWS2A,6,30.26,30.31,0.066,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,A07,FAM,Std,SWS2B,11,21.86,21.94,0.113,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,A08,FAM,Std,SWS2B,11,22.02,21.94,0.113,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,A09,FAM,Std,RH2-2,16,25.22,25.18,0.067,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,A10,FAM,Std,RH2-2,16,25.13,25.18,0.067,1.000E+01,1.000,1.00E+01,0.00E+00,N/A
,B02,FAM,Std,SWS1,2,24.74,24.75,0.018,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,B04,FAM,Std,SWS1,2,24.77,24.75,0.018,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,B05,FAM,Std,SWS2A,7,31.26,31.64,0.539,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,B06,FAM,Std,SWS2A,7,32.02,31.64,0.539,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,B07,FAM,Std,SWS2B,12,23.07,23.06,0.022,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,B08,FAM,Std,SWS2B,12,23.04,23.06,0.022,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,B09,FAM,Std,RH2-2,17,26.06,26.04,0.033,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,B10,FAM,Std,RH2-2,17,26.02,26.04,0.033,2.000E+01,1.301,2.00E+01,0.00E+00,N/A
,C02,FAM,Std,SWS1,3,26.09,26.19,0.152,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,C04,FAM,Std,SWS1,3,26.30,26.19,0.152,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,C05,FAM,Std,SWS2A,8,32.37,33.03,0.941,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,C06,FAM,Std,SWS2A,8,33.70,33.03,0.941,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,C07,FAM,Std,SWS2B,13,24.25,24.46,0.297,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,C08,FAM,Std,SWS2B,13,24.67,24.46,0.297,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,C09,FAM,Std,RH2-2,18,27.64,27.58,0.083,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,C10,FAM,Std,RH2-2,18,27.53,27.58,0.083,5.000E+01,1.699,5.00E+01,0.00E+00,N/A
,D02,FAM,Std,SWS1,4,27.25,27.22,0.048,1.000E+02,2.000,1.00E+02,0.00E+00,N/A
