variable	Df	Sum Sq	Mean Sq	F value	Pr(>F)	PctExp	body.part
Drainage	3	271.1319133752718	90.37730445842392	2.9730801290315596	0.0321462199285301	1.990907920275413	belly
H2S	1	4329.4006164296425	4329.4006164296425	142.4213193838424	8.742870976338172e-27	31.79056965295312	belly
sex	1	567.1784265005521	567.1784265005521	18.658079255062404	2.178673269454647e-5	4.164762485802907	belly
Residuals	278	8450.794983324564	30.39854310548404	NA	NA	62.05375994096857	belly
Drainage	3	1620.5083157929046	540.1694385976349	23.962824378444697	8.00538965837259e-14	14.822721395932698	eye
H2S	1	2582.707311144711	2582.707311144711	114.5732381279462	1.2897653770784176e-22	23.623915130361432	eye
sex	1	462.711204854008	462.711204854008	20.526646914051625	8.739720580113658e-6	4.232399926298071	eye
Residuals	278	6266.669636206259	22.541977108655608	NA	NA	57.320963547407814	eye
Drainage	3	3368.265516269057	1122.7551720896856	46.836422428837466	1.6296705849344691e-24	32.880653460099786	head
H2S	1	29.836216510882494	29.836216510882494	1.2446361191826438	0.26554632898238184	0.29125800531945645	head
sex	1	205.6118432032595	205.6118432032595	8.577224477813852	0.0036869224161648773	2.007161172717569	head
Residuals	277	6640.199369227577	23.971838878077897	NA	NA	64.82092736186318	head
Drainage	3	2617.456089934264	872.4853633114213	56.44602729845573	1.5869222276413625e-28	19.06964706457132	tail
H2S	1	6710.89824237875	6710.89824237875	434.1660746591355	9.98690096376072e-59	48.892686857500934	tail
sex	1	100.37502242507989	100.37502242507989	6.493829574842791	0.011363080868348021	0.731288772753692	tail
Residuals	278	4297.041662792289	15.456984398533413	NA	NA	31.306377305174042	tail
