Gene	Identifier	Efficiency	meanCT	CT_stdev	expression	total_cone	percent_cone	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
LWS1	200	0.8267	40	0	3.414372100331709e-11	4.649054898012237e-7	7.344228397456799e-5	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS1	201	0.8267	40	0	3.414372100331709e-11	8.009655839596152e-7	4.2628199871617235e-5	MX14-201	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS1	202	0.8267	40	0	3.414372100331709e-11	3.6224405767760676e-7	9.425612450958306e-5	MX14-202	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS1	203	0.8267	40	0	3.414372100331709e-11	3.440075307108512e-7	9.925283011323357e-5	MX14-203	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS1	204	0.8267	40	0	3.414372100331709e-11	1.7456360196346267e-6	1.955947323455413e-5	MX14-204	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS1	205	0.8267	40	0	3.414372100331709e-11	1.7078019717432863e-6	1.999278696725238e-5	MX14-205	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS1	206	0.8267	40	0	3.414372100331709e-11	2.082998493462278e-6	1.639162059429277e-5	MX14-206	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS1	242	0.8267	40	0	3.414372100331709e-11	5.810645288182925e-7	5.8760635540350354e-5	MX14-242	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS1	244	0.8267	40	0	3.414372100331709e-11	1.5412766303366608e-6	2.2152883091375417e-5	MX14-244	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS1	245	0.8267	40	0	3.414372100331709e-11	8.614116276626371e-7	3.9636940002729014e-5	MX14-245	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS1	246	0.8267	40	0	3.414372100331709e-11	3.1760411678127875e-6	1.0750402529206038e-5	MX14-246	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS1	247	0.8267	40	0	3.414372100331709e-11	2.6938924675789776e-6	1.2674492918420876e-5	MX14-247	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS1	248	0.8267	40	0	3.414372100331709e-11	5.638609928871846e-7	6.055343681159454e-5	MX14-248	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
