Fieldsite.ID	Drainage	lambda	H2S	median_sensitivity
MT14-11	Pichucalco	350	0	0.52411192351683
MT14-11	Pichucalco	351	0	0.5290954648314536
MT14-11	Pichucalco	352	0	0.5341354344553525
MT14-11	Pichucalco	353	0	0.53922570099421
MT14-11	Pichucalco	354	0	0.5420098289221269
MT14-11	Pichucalco	355	0	0.5437357715539342
MT14-11	Pichucalco	356	0	0.5452066356855457
MT14-11	Pichucalco	357	0	0.5464103468494538
MT14-11	Pichucalco	358	0	0.5473351203131045
MT14-11	Pichucalco	359	0	0.547969583738542
MT14-11	Pichucalco	360	0	0.5483029138626497
MT14-11	Pichucalco	361	0	0.5525253285775792
MT14-11	Pichucalco	362	0	0.5604580245386119
MT14-11	Pichucalco	363	0	0.5620362228025698
MT14-11	Pichucalco	364	0	0.5629770805337625
MT14-11	Pichucalco	365	0	0.5636588271602645
MT14-11	Pichucalco	366	0	0.5640753777548874
MT14-11	Pichucalco	367	0	0.5642222725207037
MT14-11	Pichucalco	368	0	0.564096957545688
MT14-11	Pichucalco	369	0	0.5636990815362589
MT14-11	Pichucalco	370	0	0.5628508272814522
MT14-11	Pichucalco	371	0	0.561389979867387
MT14-11	Pichucalco	372	0	0.5596589575789765
MT14-11	Pichucalco	373	0	0.5576708496621955
MT14-11	Pichucalco	374	0	0.555442539318958
MT14-11	Pichucalco	375	0	0.5534402934352951
MT14-11	Pichucalco	376	0	0.552497282240404
MT14-11	Pichucalco	377	0	0.5514120836496074
MT14-11	Pichucalco	378	0	0.5492541943163388
MT14-11	Pichucalco	379	0	0.5467879478895807
MT14-11	Pichucalco	380	0	0.5442566343315696
MT14-11	Pichucalco	381	0	0.5416974861564218
MT14-11	Pichucalco	382	0	0.5391486577918027
MT14-11	Pichucalco	383	0	0.5366482127195001
MT14-11	Pichucalco	384	0	0.5342330296491831
MT14-11	Pichucalco	385	0	0.5319376834136914
MT14-11	Pichucalco	386	0	0.5297933631206098
MT14-11	Pichucalco	387	0	0.5278268911459802
MT14-11	Pichucalco	388	0	0.5260599012475642
MT14-11	Pichucalco	389	0	0.5245082227888418
MT14-11	Pichucalco	390	0	0.5231815021074173
MT14-11	Pichucalco	391	0	0.5220830734442335
MT14-11	Pichucalco	392	0	0.5212100729218375
MT14-11	Pichucalco	393	0	0.5205537720820922
MT14-11	Pichucalco	394	0	0.5201000942604637
MT14-11	Pichucalco	395	0	0.5198302686626919
MT14-11	Pichucalco	396	0	0.5197215737000526
MT14-11	Pichucalco	397	0	0.5197481224950362
MT14-11	Pichucalco	398	0	0.5198816485338654
MT14-11	Pichucalco	399	0	0.5200922569878984
MT14-11	Pichucalco	400	0	0.5203491159910227
MT14-11	Pichucalco	401	0	0.5206210710338994
MT14-11	Pichucalco	402	0	0.5208771737697376
MT14-11	Pichucalco	403	0	0.5210871233730472
MT14-11	Pichucalco	404	0	0.5212216238891239
MT14-11	Pichucalco	405	0	0.5212526647257903
MT14-11	Pichucalco	406	0	0.521153733701239
MT14-11	Pichucalco	407	0	0.5208999731004181
MT14-11	Pichucalco	408	0	0.5204682892753562
MT14-11	Pichucalco	409	0	0.5198374257190407
MT14-11	Pichucalco	410	0	0.5189880084880661
MT14-11	Pichucalco	411	0	0.5179025715451107
