site.name	sample.location	light	n.measures	nls.converged	lambda	transmission_ss	transmission
Ban	1	s	2	NA	350	0	-5.9302249267147764e-5
Ban	1	s	2	NA	351	0	4.47040077232906e-5
Ban	1	s	2	NA	352	0	3.5400853080553186e-5
Ban	1	s	2	NA	353	0	2.9871123978840654e-5
Ban	1	s	2	NA	354	0	3.4908561032547986e-5
Ban	1	s	2	NA	355	0	1.3161475817965939e-5
Ban	1	s	2	NA	356	0	1.7515987320563916e-5
Ban	1	s	2	NA	357	0	6.26180910921213e-5
Ban	1	s	2	NA	358	0	4.625817912917136e-5
Ban	1	s	2	NA	359	0	3.2425210373249286e-5
Ban	1	s	2	NA	360	0	4.045670144593677e-5
Ban	1	s	2	NA	361	0	3.48506580332673e-5
Ban	1	s	2	NA	362	1.232595164407831e-32	3.459462254999503e-5
Ban	1	s	2	NA	363	1.232595164407831e-32	3.855150596755497e-5
Ban	1	s	2	NA	364	0	3.7769375066288185e-5
Ban	1	s	2	NA	365	0	7.341421614935948e-5
Ban	1	s	2	NA	366	0	4.503181519406036e-5
Ban	1	s	2	NA	367	0	3.560384429281107e-5
Ban	1	s	2	NA	368	0	2.9454540702556228e-5
Ban	1	s	2	NA	369	0	4.243674854564831e-5
Ban	1	s	2	NA	370	1.232595164407831e-32	8.905647266490823e-5
Ban	1	s	2	NA	371	1.232595164407831e-32	4.9690078080345636e-5
Ban	1	s	2	NA	372	0	2.374469121297031e-5
Ban	1	s	2	NA	373	0	6.004333170276028e-5
Ban	1	s	2	NA	374	0	7.6524878976976e-5
Ban	1	s	2	NA	375	1.232595164407831e-32	3.2368413789183926e-5
Ban	1	s	2	NA	376	0	2.4568693414213333e-5
Ban	1	s	2	NA	377	0	5.9045206571191584e-5
Ban	1	s	2	NA	378	0	6.960579519893592e-5
Ban	1	s	2	NA	379	0	4.45383582858594e-5
Ban	1	s	2	NA	380	0	4.4522648079658886e-5
Ban	1	s	2	NA	381	0	6.87290628385209e-5
Ban	1	s	2	NA	382	0	6.096904857368251e-5
Ban	1	s	2	NA	383	0	4.0738541228721415e-5
Ban	1	s	2	NA	384	1.232595164407831e-32	6.682874869658291e-5
Ban	1	s	2	NA	385	0	5.6996343091145786e-5
Ban	1	s	2	NA	386	0	5.233255375612319e-5
Ban	1	s	2	NA	387	0	5.547205957795923e-5
Ban	1	s	2	NA	388	0	4.560069487047393e-5
Ban	1	s	2	NA	389	0	4.238822352466519e-5
Ban	1	s	2	NA	390	0	4.461150077432467e-5
Ban	1	s	2	NA	391	0	5.187795258571317e-5
Ban	1	s	2	NA	392	0	3.8710601060673e-5
Ban	1	s	2	NA	393	0	3.532589654983805e-5
Ban	1	s	2	NA	394	0	2.9961237723709153e-5
Ban	1	s	2	NA	395	0	6.160814378479106e-5
Ban	1	s	2	NA	396	0	4.949934942306381e-5
Ban	1	s	2	NA	397	0	3.608402452430085e-5
Ban	1	s	2	NA	398	0	8.220281069062614e-5
Ban	1	s	2	NA	399	0	3.730819153096218e-5
Ban	1	s	2	NA	400	0	2.8338085572575903e-5
Ban	1	s	2	NA	401	0	6.912485930240931e-5
Ban	1	s	2	NA	402	0	4.2392738685408363e-05
Ban	1	s	2	NA	403	0	3.5885761695393255e-5
Ban	1	s	2	NA	404	0	3.410166464793346e-5
Ban	1	s	2	NA	405	0	7.403395770862298e-6
Ban	1	s	2	NA	406	0	5.2447976175563315e-6
Ban	1	s	2	NA	407	0	3.64609373066212e-5
Ban	1	s	2	NA	408	0	4.314082696403402e-5
Ban	1	s	2	NA	409	0	4.024399469312074e-5
Ban	1	s	2	NA	410	0	3.500459172490227e-5
Ban	1	s	2	NA	411	0	1.2928703200387262e-5
Ban	1	s	2	NA	412	0	4.374681471073254e-6
Ban	1	s	2	NA	413	0	2.429947639318374e-5
Ban	1	s	2	NA	414	3.0814879110195774e-33	1.3239432184764491e-5
Ban	1	s	2	NA	415	0	-6.836253615147145e-6
Ban	1	s	2	NA	416	0	1.1163329213295879e-5
Ban	1	s	2	NA	417	0	-1.424283703145912e-5
Ban	1	s	2	NA	418	0	3.836182769794918e-6
Ban	1	s	2	NA	419	0	3.067119493021505e-5
Ban	1	s	2	NA	420	0	2.74742536550193e-5
Ban	1	s	2	NA	421	0	5.254421340493449e-5
Ban	1	s	2	NA	422	0	5.647275631757337e-5
Ban	1	s	2	NA	423	0	3.402696704842203e-5
Ban	1	s	2	NA	424	0	1.931726109031947e-7
Ban	1	s	2	NA	425	0	1.5370736725008695e-7
Ban	1	s	2	NA	426	0	1.751672923475179e-5
Ban	1	s	2	NA	427	0	3.249466952269817e-5
Ban	1	s	2	NA	428	0	3.0782109597468705e-5
Ban	1	s	2	NA	429	3.0814879110195774e-33	4.0666641049568124e-5
Ban	1	s	2	NA	430	0	3.5636273061478325e-5
Ban	1	s	2	NA	431	0	1.7114631794366107e-5
